amp111 2048    1 amp113    1    1 dec
amp111 2048 4096 amp113    1 4096 dec
amp113 2048    1 amp211    1    1 dec
amp113 2048 4096 amp211    1 4096 dec
amp211 2048    1 amp213    1    1 dec
amp211 2048 4096 amp213    1 4096 dec
amp322 2048    1 amp324    1    1 dec
amp322 2048 4096 amp324    1 4096 dec
amp324 2048    1 amp422    1    1 dec
amp324 2048 4096 amp422    1 4096 dec
amp422 2048    1 amp424    1    1 dec
amp422 2048 4096 amp424    1 4096 dec
amp111    1 4096 amp322    1    1 ra
amp111 2048 4096 amp322 2048    1 ra
amp113    1 4096 amp324    1    1 ra
amp113 2048 4096 amp324 2048    1 ra
amp211    1 4096 amp422    1    1 ra
amp211 2048 4096 amp422 2048    1 ra
amp213    1 4096 amp424    1    1 ra
amp213 2048 4096 amp424 2048    1 ra
